iter	Passed	Remaining
377	2933	4827
378	2939	4815
379	2944	4803
380	2949	4792
381	2955	4781
382	2960	4769
383	2966	4758
384	2971	4746
385	2977	4735
386	2982	4724
387	2988	4713
388	2993	4702
389	2998	4690
390	3004	4679
391	3009	4668
392	3015	4657
393	3020	4646
394	3026	4635
395	3031	4623
396	3036	4612
397	3042	4602
398	3048	4591
399	3053	4580
400	3058	4569
401	3064	4558
402	3069	4547
403	3074	4536
404	3080	4525
405	3085	4514
406	3091	4503
407	3096	4493
408	3102	4482
409	3107	4471
410	3112	4460
411	3118	4450
412	3123	4439
413	3129	4429
414	3134	4418
415	3140	4408
416	3145	4398
417	3151	4387
418	3156	4376
419	3162	4366
420	3167	4356
421	3173	4345
422	3178	4335
423	3184	4325
424	3189	4315
425	3195	4305
426	3200	4295
427	3206	4284
428	3211	4274
429	3217	4264
430	3223	4255
431	3228	4244
432	3233	4234
433	3239	4224
434	3244	4213
435	3249	4203
436	3255	4194
437	3260	4183
438	3265	4173
439	3271	4163
440	3276	4153
441	3282	4143
442	3288	4135
443	3294	4125
444	3299	4115
445	3305	4105
446	3310	4095
447	3316	4086
448	3321	4076
449	3326	4066
450	3332	4056
451	3338	4047
452	3343	4037
453	3348	4027
454	3354	4017
455	3359	4008
456	3365	3999
457	3371	3990
458	3377	3981
459	3383	3972
460	3389	3963
461	3395	3954
462	3401	3944
463	3406	3935
464	3412	3925
465	3417	3916
466	3423	3906
467	3428	3897
468	3433	3887
469	3439	3878
470	3444	3868
471	3450	3859
472	3456	3850
473	3461	3841
474	3466	3831
475	3472	3822
476	3477	3813
477	3482	3803
478	3488	3794
479	3493	3785
480	3499	3776
481	3505	3766
482	3510	3757
483	3516	3748
484	3521	3739
485	3527	3730
486	3532	3721
487	3538	3712
488	3544	3704
489	3552	3697
490	3558	3689
491	3564	3680
492	3571	3672
493	3576	3663
494	3583	3655
495	3589	3647
496	3595	3639
497	3602	3631
498	3608	3622
499	3614	3614
500	3620	3606
501	3626	3597
502	3632	3589
503	3638	3580
504	3644	3572
505	3650	3564
506	3656	3555
507	3662	3547
508	3668	3538
509	3674	3530
510	3680	3522
511	3686	3513
512	3691	3504
513	3697	3495
514	3702	3487
515	3708	3478
516	3713	3469
517	3719	3460
518	3724	3451
519	3729	3442
520	3735	3434
521	3740	3425
522	3746	3416
523	3751	3407
524	3756	3398
525	3762	3390
526	3768	3382
527	3774	3374
528	3781	3366
529	3786	3357
530	3792	3349
531	3798	3341
532	3803	3332
533	3809	3324
534	3814	3315
535	3820	3307
536	3825	3298
537	3831	3290
538	3836	3281
539	3842	3273
540	3847	3264
541	3852	3255
542	3858	3247
543	3864	3239
544	3869	3230
545	3875	3222
546	3880	3213
547	3886	3205
548	3891	3197
549	3897	3188
550	3902	3180
551	3908	3172
552	3913	3163
553	3919	3155
554	3924	3146
555	3930	3138
556	3935	3130
557	3941	3122
558	3947	3113
559	3952	3105
560	3958	3097
561	3963	3089
562	3969	3080
563	3974	3072
564	3980	3064
565	3985	3056
566	3991	3047
567	3996	3039
568	4001	3031
569	4007	3022
570	4012	3014
571	4017	3006
572	4023	2998
573	4029	2990
574	4034	2981
575	4039	2973
576	4045	2965
577	4050	2957
578	4056	2949
579	4061	2941
580	4066	2932
581	4071	2924
582	4077	2916
583	4082	2908
584	4088	2900
585	4093	2892
586	4098	2883
587	4104	2875
588	4109	2867
589	4115	2859
590	4121	2852
591	4126	2844
592	4132	2836
593	4138	2828
594	4143	2820
595	4149	2812
596	4154	2804
597	4159	2796
598	4165	2788
599	4170	2780
600	4175	2772
601	4181	2764
602	4186	2756
603	4192	2748
604	4197	2740
605	4203	2732
606	4208	2724
607	4214	2716
608	4219	2709
609	4224	2701
610	4230	2693
611	4235	2685
612	4240	2677
613	4246	2669
614	4252	2661
615	4257	2654
616	4263	2646
617	4268	2638
618	4274	2630
619	4279	2622
620	4284	2615
621	4290	2607
622	4295	2599
623	4301	2591
624	4307	2584
625	4312	2576
626	4318	2568
627	4323	2561
628	4329	2553
629	4334	2545
630	4339	2537
631	4345	2530
632	4351	2522
633	4356	2514
634	4361	2507
635	4367	2499
636	4373	2492
637	4379	2484
638	4384	2477
639	4390	2469
640	4396	2462
641	4402	2454
642	4407	2447
643	4414	2440
644	4419	2432
645	4425	2425
646	4431	2417
647	4436	2410
648	4442	2402
649	4447	2394
650	4453	2387
651	4458	2379
652	4464	2372
653	4469	2364
654	4474	2357
655	4480	2349
656	4485	2341
657	4490	2334
658	4496	2326
659	4501	2319
660	4507	2311
661	4513	2304
662	4518	2296
663	4523	2289
664	4529	2281
665	4534	2274
666	4540	2266
667	4545	2259
668	4551	2251
669	4556	2244
670	4562	2237
671	4568	2229
672	4573	2222
673	4578	2214
674	4584	2207
675	4590	2200
676	4595	2192
677	4601	2185
678	4606	2177
679	4612	2170
680	4617	2163
681	4622	2155
682	4628	2148
683	4634	2140
684	4639	2133
685	4645	2126
686	4651	2119
687	4657	2112
688	4663	2105
689	4669	2097
690	4675	2090
691	4680	2083
692	4686	2075
693	4691	2068
694	4697	2061
695	4702	2054
696	4708	2046
697	4713	2039
698	4719	2032
699	4724	2024
700	4730	2017
701	4735	2010
702	4740	2002
703	4746	1995
704	4751	1988
705	4756	1980
706	4762	1973
707	4767	1966
708	4773	1959
709	4778	1951
710	4784	1944
711	4789	1937
712	4795	1930
713	4801	1923
714	4807	1916
715	4814	1909
716	4820	1902
717	4826	1895
718	4832	1888
719	4837	1881
720	4843	1874
721	4849	1867
722	4855	1860
723	4861	1853
724	4867	1846
725	4873	1839
726	4879	1832
727	4885	1825
728	4891	1818
729	4896	1811
730	4902	1804
731	4908	1797
732	4914	1790
733	4920	1783
734	4926	1776
735	4932	1769
736	4938	1762
737	4944	1755
738	4950	1748
739	4956	1741
740	4962	1734
741	4967	1727
742	4973	1720
743	4979	1713
744	4985	1706
745	4991	1699
746	4997	1692
747	5002	1685
748	5008	1678
749	5014	1671
750	5019	1664
751	5025	1657
752	5030	1650
753	5035	1642
754	5041	1635
755	5046	1628
756	5052	1621
757	5058	1614
758	5063	1607
759	5069	1600
760	5074	1593
761	5080	1586
762	5085	1579
763	5091	1572
764	5096	1565
765	5102	1558
766	5107	1551
767	5113	1544
768	5118	1537
769	5123	1530
770	5129	1523
771	5134	1516
772	5139	1509
773	5145	1502
774	5150	1495
775	5155	1488
776	5161	1481
777	5166	1474
778	5172	1467
779	5178	1460
780	5183	1453
781	5189	1446
782	5194	1439
783	5199	1432
784	5205	1425
785	5210	1418
786	5215	1411
787	5221	1404
788	5226	1397
789	5232	1390
790	5237	1383
791	5243	1377
792	5248	1370
793	5254	1363
794	5260	1356
795	5265	1349
796	5271	1342
797	5276	1335
798	5282	1328
799	5288	1322
800	5293	1315
801	5299	1308
802	5304	1301
803	5310	1294
804	5315	1287
805	5321	1280
806	5326	1273
807	5331	1266
808	5337	1260
809	5342	1253
810	5348	1246
811	5353	1239
812	5359	1232
813	5364	1225
814	5370	1219
815	5375	1212
816	5380	1205
817	5386	1198
818	5392	1191
819	5397	1184
820	5403	1178
821	5408	1171
822	5414	1164
823	5420	1157
824	5425	1150
825	5431	1144
826	5437	1137
827	5443	1130
828	5449	1123
829	5454	1117
830	5460	1110
831	5465	1103
832	5471	1096
833	5476	1090
834	5482	1083
835	5487	1076
836	5493	1069
837	5498	1063
838	5504	1056
839	5509	1049
840	5515	1042
841	5520	1035
842	5525	1029
843	5531	1022
844	5537	1015
845	5542	1008
846	5547	1002
847	5553	995
848	5558	988
849	5564	981
850	5569	975
851	5575	968
852	5581	961
853	5586	955
854	5592	948
855	5597	941
856	5603	934
857	5608	928
858	5614	921
859	5619	914
860	5624	908
861	5630	901
862	5635	894
863	5641	888
864	5646	881
865	5652	874
866	5657	867
867	5662	861
868	5668	854
869	5673	847
870	5678	841
871	5684	834
872	5689	827
873	5695	821
874	5701	814
875	5706	807
876	5712	801
877	5717	794
878	5722	787
879	5728	781
880	5733	774
881	5738	767
882	5744	761
883	5750	754
884	5755	747
885	5761	741
886	5766	734
887	5772	728
888	5777	721
889	5783	714
890	5788	708
891	5794	701
892	5799	694
893	5805	688
894	5810	681
895	5816	675
896	5821	668
897	5827	661
898	5832	655
899	5838	648
900	5844	642
901	5849	635
902	5855	628
903	5860	622
904	5865	615
905	5871	609
906	5876	602
907	5881	595
908	5887	589
909	5893	582
910	5898	576
911	5904	569
912	5909	563
913	5915	556
914	5920	550
915	5925	543
916	5931	536
917	5936	530
918	5941	523
919	5947	517
920	5952	510
921	5957	504
922	5963	497
923	5968	490
924	5974	484
925	5979	477
926	5985	471
927	5991	464
928	5996	458
929	6002	451
930	6007	445
931	6013	438
932	6019	432
933	6024	425
934	6030	419
935	6035	412
936	6041	406
937	6046	399
938	6052	393
939	6057	386
940	6062	380
941	6068	373
942	6073	367
943	6079	360
944	6084	354
945	6089	347
946	6095	341
947	6100	334
948	6105	328
949	6111	321
950	6116	315
951	6122	308
952	6128	302
953	6133	295
954	6139	289
955	6144	282
956	6150	276
957	6156	269
958	6162	263
959	6167	256
960	6173	250
961	6179	244
962	6185	237
963	6190	231
964	6196	224
965	6202	218
966	6207	211
967	6212	205
968	6218	198
969	6223	192
970	6229	186
971	6235	179
972	6240	173
973	6246	166
974	6251	160
975	6257	153
976	6262	147
977	6268	141
978	6273	134
979	6278	128
980	6284	121
981	6290	115
982	6296	108
983	6301	102
984	6307	96
985	6312	89
986	6318	83
987	6324	76
988	6329	70
989	6335	63
990	6341	57
991	6347	51
992	6353	44
993	6358	38
994	6363	31
995	6369	25
996	6375	19
997	6380	12
998	6386	6
999	6392	0
